sub,mean_stim,val,conf,RT_val,RT_conf,trial
240,50,"[100.0, 50.0, 20.0, 100.0, 60.0, 100.0, 60.0, 40.0, 100.0, 100.0, 100.0]","[4.0, 4.0, 4.0, 7.0, 3.0, 1.0, 6.0, 6.0, 0.0, 5.0, 7.0]","[3.585, 3.372, 3.534, 3.275, 4.037, 3.806, 6.386, 3.841, 3.558, 4.089, 4.573]","[4.695, 3.461, 3.725, 2.002, 2.266, 2.308, 4.077, 2.99, 2.089, 6.498, 3.206]","[1, 6, 9, 10, 15, 18, 19, 23, 27, 30, 31, 34, 38, 41, 43, 47, 50, 54, 55, 58]"
240,80,"[100.0, 30.0, 100.0, 80.0, 100.0, 100.0, 100.0, 80.0, 100.0, 80.0, 20.0]","[4.0, 6.0, 6.0, 7.0, 7.0, 2.0, 2.0, 6.0, 2.0, 4.0, 6.0]","[3.873, 3.756, 4.908, 2.388, 3.799, 3.332, 115.706, 22.241, 6.041, 3.438, 5.471]","[4.363, 3.987, 3.421, 2.11, 2.525, 4.464, 5.795, 3.559, 3.621, 2.113, 4.278]","[2, 4, 7, 12, 14, 17, 20, 22, 26, 28, 32, 35, 37, 42, 44, 46, 49, 53, 57, 59]"
241,-80,"[10.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0, -80.0]","[7.0, 10.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]","[3.569, 2.961, 4.001, 6.01, 3.683, 2.673, 3.632, 4.329, 4.107, 3.36, 2.992]","[3.046, 2.629, 2.766, 1.651, 7.248, 3.864, 2.59, 2.344, 2.023, 2.096, 2.635]","[2, 4, 8, 10, 13, 18, 20, 23, 27, 29, 31, 35, 37, 40, 45, 48, 50, 52, 57, 59]"
241,-50,"[-50.0, -40.0, -30.0, -60.0, -60.0, -60.0, -60.0, -40.0, -50.0, -60.0, -60.0]","[7.0, 8.0, 8.0, 7.0, 8.0, 8.0, 8.0, 7.0, 8.0, 7.0, 8.0]","[3.262, 4.05, 6.447, 6.465, 12.406, 2.337, 2.717, 3.039, 3.976, 3.928, 2.866]","[2.511, 8.129, 2.404, 2.027, 2.197, 2.018, 1.791, 1.462, 7.894, 2.834, 2.623]","[3, 6, 9, 12, 15, 17, 19, 24, 26, 30, 32, 36, 38, 41, 44, 46, 51, 54, 56, 58]"
241,-20,"[-20.0, -30.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0, -20.0]","[7.0, 8.0, 10.0, 6.0, 7.0, 7.0, 8.0, 7.0, 8.0, 8.0, 8.0]","[4.375, 3.427, 3.12, 2.812, 2.715, 2.508, 2.703, 2.678, 3.706, 2.404, 2.075]","[2.596, 2.759, 2.6, 2.612, 2.677, 2.105, 2.572, 2.453, 1.76, 2.004, 1.821]","[1, 5, 7, 11, 14, 16, 21, 22, 25, 28, 33, 34, 39, 42, 43, 47, 49, 53, 55, 60]"
241,20,"[50.0, 20.0, 30.0, 30.0, 30.0, 30.0, 20.0, 20.0, 20.0, 60.0, 20.0]","[7.0, 8.0, 8.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]","[3.138, 3.04, 2.341, 2.573, 2.029, 5.626, 2.016, 2.985, 2.665, 1.871, 3.048]","[2.422, 1.666, 2.101, 1.953, 2.858, 1.796, 1.685, 1.912, 1.989, 3.61, 1.49]","[2, 4, 8, 12, 13, 16, 19, 23, 25, 30, 32, 36, 39, 41, 43, 48, 49, 54, 55, 59]"
241,50,"[20.0, 30.0, 30.0, 30.0, 30.0, 90.0, 50.0, 0.0, 60.0, 60.0, 60.0]","[8.0, 7.0, 7.0, 9.0, 9.0, 9.0, 5.0, 5.0, 8.0, 8.0, 8.0]","[2.641, 2.865, 4.211, 2.043, 2.415, 3.628, 5.37, 2.297, 2.607, 2.63, 2.531]","[1.621, 2.258, 2.591, 3.345, 1.87, 2.618, 2.576, 2.201, 2.187, 3.735, 2.384]","[3, 5, 9, 10, 14, 17, 20, 24, 27, 29, 31, 35, 38, 42, 44, 47, 50, 52, 57, 58]"
241,80,"[40.0, 100.0, 90.0, 30.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]","[5.0, 7.0, 8.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 8.0, 8.0]","[3.23, 2.936, 3.889, 3.078, 2.541, 3.325, 2.784, 2.854, 2.376, 2.308, 2.177]","[2.357, 2.352, 2.425, 2.476, 2.179, 2.679, 2.327, 2.619, 2.727, 2.816, 2.141]","[1, 6, 7, 11, 15, 18, 21, 22, 26, 28, 33, 34, 37, 40, 45, 46, 51, 53, 56, 60]"
242,-80,"[-40.0, -70.0, -80.0, -80.0, -80.0, -100.0, -90.0, -60.0, -60.0, -80.0, -100.0]","[3.0, 3.0, 2.0, 3.0, 1.0, 4.0, 2.0, 2.0, 3.0, 3.0, 6.0]","[7.724, 3.507, 3.351, 4.778, 4.247, 7.59, 8.697, 5.986, 8.025, 4.59, 2.636]","[2.284, 1.494, 2.778, 1.043, 1.136, 2.952, 1.329, 1.506, 6.457, 1.185, 1.827]","[1, 5, 7, 12, 14, 18, 19, 23, 26, 28, 31, 36, 37, 41, 45, 46, 50, 52, 56, 59]"
242,-50,"[-60.0, -50.0, -50.0, -30.0, -70.0, -30.0, -70.0, -40.0, -50.0, -70.0, -50.0]","[3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 4.0]","[2.944, 6.644, 4.11, 17.403, 5.235, 3.77, 7.703, 6.661, 4.79, 6.237, 4.954]","[126.365, 3.57, 1.971, 2.073, 1.127, 1.758, 1.705, 0.93, 1.238, 1.147, 1.918]","[3, 6, 9, 11, 13, 16, 21, 22, 25, 29, 32, 35, 38, 40, 43, 47, 49, 54, 55, 60]"
242,-20,"[-20.0, -20.0, -30.0, -10.0, -40.0, -20.0, -30.0, -10.0, -20.0, -30.0, -20.0]","[3.0, 3.0, 4.0, 3.0, 5.0, 4.0, 3.0, 3.0, 3.0, 4.0, 6.0]","[10.575, 6.005, 4.244, 4.523, 6.334, 18.381, 4.298, 3.801, 8.228, 4.317, 3.938]","[0.902, 1.168, 1.249, 1.888, 1.359, 2.114, 1.331, 1.836, 1.162, 1.106, 4.165]","[2, 4, 8, 10, 15, 17, 20, 24, 27, 30, 33, 34, 39, 42, 44, 48, 51, 53, 57, 58]"
242,20,"[60.0, 40.0, 40.0, 30.0, 40.0, 20.0, 0.0, 30.0, 40.0, 20.0, 30.0]","[3.0, 6.0, 5.0, 4.0, 3.0, 5.0, 4.0, 3.0, 6.0, 3.0, 4.0]","[12.849, 2.951, 2.107, 10.51, 7.188, 9.72, 25.138, 3.853, 4.826, 4.671, 3.906]","[2.425, 1.901, 2.089, 3.432, 1.209, 2.862, 2.276, 1.372, 1.772, 1.014, 1.325]","[1, 4, 7, 12, 14, 18, 21, 24, 26, 29, 32, 35, 39, 41, 45, 47, 50, 54, 57, 58]"
242,50,"[60.0, 50.0, 30.0, 50.0, 50.0, 50.0, 50.0, 70.0, 70.0, 60.0, 50.0]","[2.0, 2.0, 5.0, 3.0, 3.0, 4.0, 3.0, 5.0, 8.0, 4.0, 2.0]","[2.434, 3.552, 5.437, 6.462, 8.267, 3.637, 3.899, 4.066, 6.327, 22.882, 6.639]","[10.111, 2.786, 1.594, 7.182, 1.673, 1.5, 9.927, 1.359, 4.082, 1.154, 1.103]","[2, 5, 9, 11, 13, 16, 19, 23, 27, 28, 31, 34, 38, 40, 43, 48, 51, 52, 56, 59]"
242,80,"[30.0, 90.0, 90.0, 70.0, 90.0, 80.0, 80.0, 100.0, 70.0, 80.0, 60.0]","[2.0, 2.0, 3.0, 5.0, 4.0, 3.0, 5.0, 6.0, 3.0, 4.0, 4.0]","[8.462, 3.335, 5.51, 6.396, 4.13, 5.754, 9.013, 4.494, 5.399, 13.59, 4.128]","[1.573, 1.298, 1.47, 1.366, 1.269, 1.333, 2.269, 1.312, 2.245, 1.357, 2.911]","[3, 6, 8, 10, 15, 17, 20, 22, 25, 30, 33, 36, 37, 42, 44, 46, 49, 53, 55, 60]"
243,-80,"[-60.0, -20.0, -60.0, -80.0, -80.0, -80.0, -80.0, -60.0, -50.0, -70.0, -60.0]","[2.0, 3.0, 6.0, 3.0, 7.0, 4.0, 8.0, 6.0, 6.0, 6.0, 7.0]","[10.888, 5.914, 31.069, 21.854, 6.178, 7.85, 5.5, 5.523, 7.353, 5.35, 6.343]","[10.458, 3.741, 3.076, 6.004, 4.737, 3.316, 3.157, 2.904, 2.63, 3.931, 3.74]","[2, 5, 8, 11, 13, 18, 21, 23, 25, 29, 32, 35, 38, 41, 44, 48, 51, 54, 56, 59]"
243,-50,"[0.0, -60.0, -60.0, -60.0, -60.0, -40.0, -70.0, 40.0, 0.0, -60.0, -20.0]","[7.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 3.0, 2.0, 5.0, 5.0]","[12.832, 12.648, 7.559, 10.46, 5.516, 3.829, 10.159, 8.908, 4.435, 24.574, 13.177]","[11.1, 3.439, 5.994, 2.779, 3.436, 5.837, 4.273, 3.033, 2.254, 4.265, 5.046]","[1, 6, 9, 10, 15, 16, 20, 22, 26, 28, 31, 36, 39, 42, 43, 47, 50, 52, 57, 60]"
243,-20,"[-60.0, -60.0, -70.0, -60.0, -60.0, -40.0, -60.0, -60.0, -40.0, -60.0, -70.0]","[2.0, 2.0, 4.0, 6.0, 5.0, 5.0, 7.0, 4.0, 6.0, 5.0, 7.0]","[7.884, 8.316, 3.886, 6.96, 6.356, 3.085, 6.603, 8.949, 5.768, 4.53, 3.734]","[9.969, 4.814, 2.508, 2.89, 6.446, 2.235, 11.795, 4.681, 3.919, 4.768, 2.944]","[3, 4, 7, 12, 14, 17, 19, 24, 27, 30, 33, 34, 37, 40, 45, 46, 49, 53, 55, 58]"
243,20,"[60.0, 40.0, 40.0, 60.0, 20.0, 40.0, 0.0, 60.0, 20.0, 50.0, 0.0]","[7.0, 4.0, 7.0, 5.0, 7.0, 4.0, 5.0, 7.0, 7.0, 7.0, 8.0]","[6.312, 20.634, 6.958, 5.0, 10.387, 8.683, 4.351, 3.768, 5.992, 3.668, 3.774]","[7.592, 2.895, 3.22, 3.143, 6.07, 2.842, 3.931, 3.274, 3.32, 2.886, 5.277]","[3, 6, 8, 12, 15, 16, 21, 23, 26, 30, 32, 34, 38, 41, 43, 48, 50, 54, 57, 58]"
243,50,"[40.0, 80.0, 40.0, 60.0, 40.0, 60.0, 40.0, 60.0, 90.0, 60.0, 60.0]","[5.0, 7.0, 7.0, 5.0, 6.0, 7.0, 6.0, 7.0, 5.0, 8.0, 3.0]","[6.768, 4.914, 12.017, 4.557, 12.493, 4.303, 7.395, 4.005, 10.782, 4.644, 4.992]","[6.834, 3.031, 8.098, 3.259, 4.599, 3.637, 2.938, 3.285, 4.047, 8.963, 3.459]","[1, 5, 7, 11, 14, 18, 20, 24, 25, 29, 31, 35, 37, 42, 45, 47, 49, 53, 56, 59]"
243,80,"[60.0, 0.0, 50.0, 0.0, 80.0, 60.0, 100.0, 60.0, 50.0, 80.0, 60.0]","[5.0, 6.0, 5.0, 7.0, 7.0, 7.0, 3.0, 5.0, 2.0, 8.0, 6.0]","[6.958, 10.182, 6.2, 10.627, 10.646, 5.684, 10.979, 8.157, 5.643, 5.302, 4.948]","[5.315, 17.032, 10.764, 3.948, 3.092, 3.176, 6.606, 4.605, 21.38, 2.989, 8.455]","[2, 4, 9, 10, 13, 17, 19, 22, 27, 28, 33, 36, 39, 40, 44, 46, 51, 52, 55, 60]"
244,-80,"[-20.0, 20.0, -80.0, -10.0, -30.0, -60.0, -60.0, -20.0, -20.0, -40.0, -90.0]","[2.0, 0.0, 8.0, 8.0, 4.0, 10.0, 10.0, 7.0, 8.0, 9.0, 10.0]","[3.427, 2.639, 3.617, 17.221, 2.048, 2.257, 2.699, 10.198, 2.184, 3.351, 1.318]","[2.035, 0.894, 1.175, 0.912, 0.809, 1.656, 1.605, 0.73, 1.134, 0.904, 1.229]","[1, 4, 8, 10, 14, 17, 19, 24, 27, 28, 32, 34, 38, 42, 45, 46, 50, 54, 55, 59]"
244,-50,"[20.0, -40.0, -60.0, -40.0, -50.0, -10.0, -70.0, -20.0, -20.0, -20.0, -50.0]","[0.0, 1.0, 9.0, 9.0, 10.0, 2.0, 9.0, 8.0, 9.0, 8.0, 10.0]","[4.895, 2.222, 4.101, 3.634, 2.677, 1.844, 1.564, 2.045, 18.011, 1.567, 3.562]","[1.588, 1.304, 1.434, 1.242, 0.748, 0.826, 0.9, 0.916, 1.319, 0.917, 1.024]","[2, 5, 9, 11, 15, 16, 21, 22, 25, 30, 31, 35, 39, 41, 44, 47, 49, 53, 57, 58]"
244,-20,"[40.0, -30.0, -30.0, -30.0, 0.0, -20.0, -20.0, -20.0, -10.0, -90.0, -40.0]","[8.0, 8.0, 7.0, 9.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0]","[1.627, 3.73, 2.262, 1.925, 7.35, 7.767, 1.551, 3.07, 1.976, 3.094, 2.613]","[4.014, 2.201, 0.878, 1.474, 0.95, 1.481, 1.362, 1.641, 0.939, 1.262, 1.03]","[3, 6, 7, 12, 13, 18, 20, 23, 26, 29, 33, 36, 37, 40, 43, 48, 51, 52, 56, 60]"
244,20,"[80.0, 40.0, 30.0, 20.0, 20.0, 40.0, 70.0, 30.0, 90.0, 30.0, 40.0]","[10.0, 10.0, 10.0, 8.0, 10.0, 8.0, 5.0, 8.0, 0.0, 8.0, 10.0]","[2.077, 1.253, 1.394, 1.865, 1.057, 1.668, 2.245, 1.844, 1.186, 1.328, 1.689]","[0.97, 0.88, 0.69, 0.724, 0.953, 0.925, 2.094, 1.316, 2.604, 0.8, 1.685]","[2, 6, 8, 11, 13, 17, 19, 23, 25, 30, 32, 34, 39, 41, 43, 48, 50, 54, 55, 58]"
244,50,"[50.0, 70.0, 50.0, 50.0, 40.0, 20.0, 40.0, 20.0, 70.0, 40.0, 60.0]","[8.0, 9.0, 8.0, 1.0, 10.0, 0.0, 10.0, 9.0, 9.0, 10.0, 9.0]","[2.074, 4.789, 2.031, 1.461, 1.725, 2.604, 1.317, 1.116, 1.433, 1.769, 2.305]","[4.847, 1.286, 0.781, 1.173, 1.147, 0.89, 0.661, 1.624, 0.811, 0.817, 0.761]","[1, 4, 7, 10, 15, 18, 20, 22, 27, 28, 31, 35, 38, 42, 45, 47, 49, 53, 57, 60]"
244,80,"[10.0, 90.0, 100.0, 90.0, 90.0, 90.0, 60.0, 80.0, 80.0, 90.0, 80.0]","[7.0, 9.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0]","[2.967, 2.019, 2.367, 2.016, 1.475, 2.506, 1.898, 2.68, 8.452, 1.627, 1.111]","[0.612, 0.783, 1.047, 0.579, 0.755, 1.088, 0.666, 0.689, 1.029, 0.713, 0.859]","[3, 5, 9, 12, 14, 16, 21, 24, 26, 29, 33, 36, 37, 40, 44, 46, 51, 52, 56, 59]"
